"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2019年10月23日","8,119.79","8,090.24","8,122.89","8,078.35","457.42M","0.19%"
"2019年10月22日","8,104.30","8,188.12","8,194.62","8,101.98","463.31M","-0.72%"
"2019年10月21日","8,162.99","8,137.42","8,164.14","8,117.26","482.28M","0.91%"
"2019年10月18日","8,089.54","8,149.85","8,157.36","8,045.38","559.75M","-0.83%"
"2019年10月17日","8,156.85","8,176.91","8,183.64","8,131.25","488.85M","0.40%"
"2019年10月16日","8,124.18","8,119.81","8,146.15","8,103.38","470.30M","-0.30%"
"2019年10月15日","8,148.71","8,074.85","8,166.18","8,071.81","447.40M","1.24%"
"2019年10月14日","8,048.65","8,044.35","8,069.85","8,036.41","380.78M","-0.10%"
"2019年10月11日","8,057.04","8,047.34","8,115.80","8,046.80","549.19M","1.34%"
"2019年10月10日","7,950.77","7,904.56","7,982.85","7,899.81","451.97M","0.60%"
"2019年10月9日","7,903.73","7,895.96","7,930.91","7,873.52","391.06M","1.02%"
"2019年10月8日","7,823.76","7,898.27","7,921.88","7,823.73","478.69M","-1.67%"
"2019年10月7日","7,956.28","7,956.41","8,013.31","7,942.08","477.67M","-0.33%"
"2019年10月4日","7,982.46","7,908.44","7,986.62","7,899.39","443.55M","1.40%"
"2019年10月3日","7,872.25","7,787.02","7,872.27","7,700.00","518.32M","1.12%"
"2019年10月2日","7,785.23","7,851.13","7,852.70","7,744.95","629.68M","-1.56%"
"2019年10月1日","7,908.67","8,026.83","8,062.50","7,906.29","541.53M","-1.13%"
"2019年9月30日","7,999.33","7,964.09","8,012.16","7,949.63","510.05M","0.75%"
"2019年9月27日","7,939.63","8,047.11","8,051.83","7,890.28","527.85M","-1.13%"
"2019年9月26日","8,030.66","8,070.12","8,072.11","7,991.02","472.49M","-0.58%"
"2019年9月25日","8,077.38","7,990.66","8,095.00","7,935.57","532.51M","1.05%"
"2019年9月24日","7,993.63","8,147.23","8,158.84","7,969.65","608.62M","-1.46%"
"2019年9月23日","8,112.46","8,106.49","8,135.81","8,085.34","473.44M","-0.06%"
"2019年9月20日","8,117.67","8,184.88","8,202.82","8,086.16","1.52B","-0.80%"
"2019年9月19日","8,182.88","8,193.59","8,237.43","8,174.32","492.92M","0.07%"
"2019年9月18日","8,177.39","8,174.62","8,179.87","8,086.22","542.24M","-0.11%"
"2019年9月17日","8,186.02","8,148.65","8,188.23","8,139.82","471.62M","0.40%"
"2019年9月16日","8,153.54","8,121.64","8,165.32","8,121.25","483.84M","-0.28%"
"2019年9月13日","8,176.71","8,190.57","8,210.20","8,165.47","495.64M","-0.22%"
"2019年9月12日","8,194.47","8,206.58","8,243.80","8,176.73","557.77M","0.30%"
"2019年9月11日","8,169.68","8,091.68","8,169.68","8,081.56","595.76M","1.06%"
"2019年9月10日","8,084.15","8,049.98","8,086.53","8,001.69","609.35M","-0.04%"
"2019年9月9日","8,087.44","8,130.91","8,131.65","8,052.35","573.75M","-0.19%"
"2019年9月6日","8,103.07","8,125.58","8,134.39","8,098.52","478.40M","-0.17%"
"2019年9月5日","8,116.83","8,061.29","8,134.42","8,061.29","542.83M","1.75%"
"2019年9月4日","7,976.88","7,949.81","7,981.41","7,928.94","509.99M","1.30%"
"2019年9月3日","7,874.16","7,906.44","7,940.37","7,847.32","512.49M","-1.11%"
"2019年8月30日","7,962.88","8,015.16","8,017.91","7,914.74","467.01M","-0.13%"
"2019年8月29日","7,973.39","7,945.78","7,992.29","7,925.83","434.25M","1.48%"
"2019年8月28日","7,856.88","7,798.35","7,866.87","7,766.67","420.87M","0.38%"
"2019年8月27日","7,826.95","7,908.78","7,916.83","7,795.18","532.80M","-0.34%"
"2019年8月26日","7,853.73","7,829.58","7,856.04","7,789.05","446.37M","1.32%"
"2019年8月23日","7,751.77","7,943.65","8,005.34","7,730.77","598.42M","-3.00%"
"2019年8月22日","7,991.39","8,038.79","8,048.58","7,937.12","456.70M","-0.36%"
"2019年8月21日","8,020.21","8,017.07","8,036.94","7,998.50","428.16M","0.90%"
